score, participants, totalProposals, candidateProposals, activeProposals, completedProposals, failedProposals, hatchers, proposals, commonTribute, maxSpending, customDays, exitTribute
760,49, 307, 0, 1, 156, 150,33, 35, 71, 43, 84, 71
600,47, 290, 0, 1, 139, 150,33, 35, 71, 43, 84, 29
963,53, 337, 1, 2, 174, 160,33, 35, 71, 43, 84, 96
963,53, 337, 1, 2, 174, 160,33, 35, 71, 43, 84, 87
963,53, 337, 1, 2, 174, 160,33, 35, 71, 43, 84, 90
963,53, 337, 1, 2, 174, 160,33, 35, 71, 43, 84, 88
963,53, 337, 1, 2, 174, 160,33, 35, 71, 43, 84, 92
963,53, 337, 1, 2, 174, 160,33, 35, 71, 43, 84, 85
672,42, 312, 3, 1, 141, 167,33, 35, 71, 43, 84, 75
963,53, 337, 1, 2, 174, 160,33, 35, 71, 43, 84, 89
963,53, 337, 1, 2, 174, 160,33, 35, 71, 43, 84, 81
963,53, 337, 1, 2, 174, 160,33, 35, 71, 43, 84, 86
963,53, 337, 1, 2, 174, 160,33, 35, 71, 43, 84, 93
608,53, 306, 1, 1, 139, 165,33, 35, 71, 43, 88, 90
676,44, 319, 1, 1, 152, 165,33, 35, 71, 43, 82, 90
592,43, 299, 1, 2, 137, 159,33, 35, 71, 43, 92, 90
509,39, 326, 0, 1, 141, 184,33, 35, 71, 43, 86, 90
963,53, 337, 1, 2, 174, 160,33, 35, 71, 43, 84, 90
640,43, 320, 1, 1, 143, 175,33, 35, 71, 43, 87, 90
789,43, 287, 2, 3, 141, 141,33, 35, 71, 43, 73, 90
818,42, 322, 0, 0, 166, 156,33, 35, 71, 43, 97, 90
555,43, 297, 1, 0, 140, 156,33, 35, 71, 43, 77, 90
676,44, 319, 1, 1, 152, 165,33, 35, 71, 43, 83, 90
779,46, 295, 1, 3, 151, 140,33, 35, 71, 43, 98, 90
678,49, 292, 0, 2, 146, 144,33, 35, 71, 43, 96, 90
608,53, 306, 1, 1, 139, 165,33, 35, 71, 43, 90, 90
605,44, 339, 1, 3, 152, 183,33, 35, 71, 43, 94, 90
